分类,单词,中文,例句
建筑设计 (Architectural Design),design,设计,She has a talent for creative design in architecture.
建筑设计 (Architectural Design),engineer,工程师,The engineer is responsible for supervising the construction project.
建筑设计 (Architectural Design),foundation,基础,A strong foundation is essential for a stable building.
建筑设计 (Architectural Design),floor plan,平面图,She carefully studied the floor plan before starting the interior design.
建筑设计 (Architectural Design),infrastructure,基础设施,The city's infrastructure includes roads
建筑设计 (Architectural Design),materials,材料,We need to choose durable materials for the construction project.
建筑设计 (Architectural Design),project,项目,He is currently working on a large-scale architectural project.
建筑设计 (Architectural Design),renovation,翻新,The old building underwent a complete renovation to restore its original charm.
建筑设计 (Architectural Design),sketch,草图,She quickly sketched out her design ideas on paper.
建筑设计 (Architectural Design),structure,结构,The architect focused on creating a unique and stable structure.
建筑设计 (Architectural Design),sustainable,可持续的,The building was designed to be environmentally sustainable.
建筑设计 (Architectural Design),urban planning,城市规划,Urban planning plays a crucial role in creating livable cities.
建筑设计 (Architectural Design),aesthetics,美学,They considered both function and aesthetics in their architectural design.
建筑设计 (Architectural Design),landmark,地标,The Eiffel Tower is a famous landmark in Paris.
建筑设计 (Architectural Design),exterior,外部,They are planning to repaint the exterior of the building.
建筑设计 (Architectural Design),interior,内部,The interior design features a modern and sleek style.
建筑设计 (Architectural Design),balcony,阳台,The apartment has a lovely balcony overlooking the park.
建筑设计 (Architectural Design),symmetry,对称,The architect emphasized symmetry in the design of the building.
建筑设计 (Architectural Design),skyline,天际线,The city's skyline is dotted with towering skyscrapers.
建筑设计 (Architectural Design),space,空间,The architect maximized the use of space in the small apartment.
建筑设计 (Architectural Design),ventilation,通风,Proper ventilation is important for maintaining indoor air quality.
建筑设计 (Architectural Design),facade,正面,The facade of the building is decorated with intricate details.
建筑设计 (Architectural Design),structure,结构,The engineer carefully inspected the structure of the bridge.
建筑设计 (Architectural Design),layout,布局,The layout of the office space was carefully planned for efficiency.
建筑设计 (Architectural Design),blueprint,蓝图,The blueprint of the house included detailed electrical plans.
建筑设计 (Architectural Design),landmark,地标,The historic tower is considered a local landmark.
建筑设计 (Architectural Design),concept,概念,The architect presented the concept for the new museum design.
电脑编程 (Computer Programming),variable,变量,You can store the user's input in a variable.
电脑编程 (Computer Programming),loop,循环,Use a loop to repeat a block of code multiple times.
电脑编程 (Computer Programming),function,函数,You can define a function to perform a specific task.
电脑编程 (Computer Programming),array,数组,An array stores multiple values in a single variable.
电脑编程 (Computer Programming),if,如果,Use an if statement to execute code conditionally.
电脑编程 (Computer Programming),else,否则,You can use an else statement with an if statement.
电脑编程 (Computer Programming),print,打印,Print out a message to the console.
电脑编程 (Computer Programming),input,输入,Get input from the user.
电脑编程 (Computer Programming),output,输出,Display the result as an output.
电脑编程 (Computer Programming),class,类,Define a class to create objects with similar attributes and methods.
电脑编程 (Computer Programming),method,方法,A method is a function that belongs to a class.
电脑编程 (Computer Programming),parameter,参数,A parameter is a value that you pass into a function.
电脑编程 (Computer Programming),return,返回,Return a value from a function.
电脑编程 (Computer Programming),string,字符串,A string is a sequence of characters.
电脑编程 (Computer Programming),integer,整数,An integer is a whole number without decimal points.
电脑编程 (Computer Programming),float,浮点数,A float is a number with a decimal point.
电脑编程 (Computer Programming),boolean,布尔值,A boolean can have a value of either true or false.
电脑编程 (Computer Programming),syntax,语法,Syntax is the set of rules that define the combinations of symbols that are considered to be correctly structured programs.
电脑编程 (Computer Programming),debug,调试,Identify and correct errors in a program.
电脑编程 (Computer Programming),comment,注释,Add comments to your code to explain its purpose.
电脑编程 (Computer Programming),variable,变量,Store values in variables for easy access and manipulation.
电脑编程 (Computer Programming),input,输入,Accept user input for interactive programs.
电脑编程 (Computer Programming),output,输出,Display results to the user.
电脑编程 (Computer Programming),import,导入,Bring in external modules to extend the functionality of your program.
电脑编程 (Computer Programming),for,对于,Use a for loop to iterate over a sequence of items.
电脑编程 (Computer Programming),while,当,Use a while loop to execute a block of code repeatedly as long as a condition is true.
电脑编程 (Computer Programming),list,列表,A list is an ordered collection of elements.
电脑编程 (Computer Programming),dictionary,字典,A dictionary stores key-value pairs.
电脑编程 (Computer Programming),function,函数,Define functions to break down complex tasks into smaller
农业 (Agriculture),Crop,农作物,Farmers are busy harvesting their crops in autumn.
农业 (Agriculture),Soil,土壤,Good soil quality is essential for successful agriculture.
农业 (Agriculture),Harvest,收获,The farmers are looking forward to a bountiful harvest this year.
农业 (Agriculture),Irrigation,灌溉,Efficient irrigation systems can help in water conservation.
农业 (Agriculture),Livestock,牲畜,Many farmers raise livestock such as cows and pigs.
农业 (Agriculture),Fertilizer,肥料,Proper use of fertilizer can enhance crop growth.
农业 (Agriculture),Pesticide,农药,Farmers need to be careful when using pesticides on their fields.
农业 (Agriculture),Plow,犁地,The farmer used a plow to prepare the land for planting.
农业 (Agriculture),Crop rotation,轮作,Crop rotation can help maintain soil fertility.
农业 (Agriculture),Tractor,拖拉机,Modern agriculture relies heavily on tractors for various tasks.
农业 (Agriculture),Seed,种子,Farmers need high-quality seeds for a successful harvest.
农业 (Agriculture),Crop yield,作物产量,Increasing crop yield is a goal for many farmers.
农业 (Agriculture),Greenhouse,温室,Some crops are grown in greenhouses for better control of growing conditions.
农业 (Agriculture),Cultivate,耕种,Farmers cultivate the land to grow different crops.
农业 (Agriculture),Compost,堆肥,Compost is a natural fertilizer made from organic waste.
农业 (Agriculture),Orchard,果园,Many fruits like apples and oranges are grown in orchards.
农业 (Agriculture),Weed,杂草,Farmers need to regularly remove weeds from their fields.
农业 (Agriculture),Agricultural machinery,农业机械,Agricultural machinery such as harvesters and plows make farming easier.
农业 (Agriculture),Herbicide,除草剂,Herbicides are used to control the growth of unwanted plants.
农业 (Agriculture),Farming,农业,Farming is a vital sector for food production.
农业 (Agriculture),Pest control,害虫控制,Effective pest control is important for protecting crops.
农业 (Agriculture),Grain,谷物,Wheat and rice are examples of important grain crops.
农业 (Agriculture),Organic farming,有机农业,Organic farming avoids the use of synthetic chemicals.
农业 (Agriculture),Silo,筒仓,Grains are stored in silos to protect them from pests.
农业 (Agriculture),Dairy farm,奶牛场,Dairy farms produce milk and dairy products.
农业 (Agriculture),Tractor plow,拖拉机犁,The farmer used a tractor plow to prepare the field for planting.
农业 (Agriculture),Crop protection,作物保护,Crop protection involves safeguarding crops from diseases and pests.
农业 (Agriculture),Irrigation system,灌溉系统,An efficient irrigation system ensures crops receive adequate water.
农业 (Agriculture),Fertilizer application,施肥,Proper fertilizer application is crucial for crop growth.
农业 (Agriculture),Agronomist,农学家,Agronomists study ways to improve agricultural practices.
化学 (Chemistry),chemical,化学的,She studies the chemical composition of different substances.
化学 (Chemistry),element,元素,Gold is an element with the symbol Au on the periodic table.
化学 (Chemistry),compound,化合物,Water is a compound made up of hydrogen and oxygen.
化学 (Chemistry),molecule,分子,Carbon dioxide is a molecule composed of one carbon atom and two oxygen atoms.
化学 (Chemistry),reaction,反应,The chemical reaction produced a lot of heat.
化学 (Chemistry),acid,酸,Vinegar is an acid that gives a sour taste to food.
化学 (Chemistry),base,碱,Soap is a common household base used for cleaning.
化学 (Chemistry),solution,溶液,Adding sugar to water creates a sweet solution.
化学 (Chemistry),atom,原子,The smallest unit of an element is an atom.
物理学 (Physics),energy,能量,The kinetic energy of an object is dependent on its mass and velocity.
物理学 (Physics),force,力,Gravity is a force that pulls objects towards the Earth.
物理学 (Physics),velocity,速度,The velocity of a car is a measure of how fast it is moving in a particular direction.
物理学 (Physics),acceleration,加速度,Acceleration is the rate of change of an object's velocity over time.
物理学 (Physics),mass,质量,The mass of an object is a measure of the amount of matter it contains.
物理学 (Physics),gravity,重力,The force of gravity keeps us grounded on the Earth.
物理学 (Physics),friction,摩擦力,Friction is the force that opposes motion between two surfaces that are in contact.
物理学 (Physics),speed,速度,Speed is the rate at which an object covers a certain distance in a specific amount of time.
物理学 (Physics),momentum,动量,The momentum of an object is determined by its mass and velocity.
物理学 (Physics),inertia,惯性,An object at rest tends to stay at rest due to its inertia.
物理学 (Physics),work,功,Work is done when a force causes an object to move through a distance.
物理学 (Physics),power,功率,Power is the rate at which work is done or energy is transferred.
物理学 (Physics),kinetic,动能,Kinetic energy is the energy of motion.
物理学 (Physics),potential,势能,Potential energy is energy that is stored in an object due to its position.
物理学 (Physics),electricity,电,Electricity is a form of energy that results from the flow of electrons.
物理学 (Physics),magnetism,磁性,Magnetism is the force of attraction or repulsion between magnets.
物理学 (Physics),light,光,Light is a form of electromagnetic radiation that is visible to the human eye.
物理学 (Physics),sound,声音,Sound is a form of energy that travels in waves through a medium.
物理学 (Physics),wave,波,Sound waves are produced by vibrations traveling through a medium.
物理学 (Physics),frequency,频率,Frequency is the number of cycles of a wave that occur in a unit of time.
物理学 (Physics),wavelength,波长,Wavelength is the distance between two consecutive points on a wave.
物理学 (Physics),amplitude,振幅,Amplitude is the maximum displacement of a wave from its equilibrium position.
物理学 (Physics),refraction,折射,Refraction is the bending of light as it passes from one medium to another.
物理学 (Physics),reflection,反射,Reflection is the bouncing back of light rays from a surface.
物理学 (Physics),lens,透镜,A lens is a piece of transparent material that refracts light to form an image.
物理学 (Physics),prism,棱镜,A prism is a transparent optical element that refracts light to produce a spectrum.
物理学 (Physics),circuit,电路,An electric circuit is a closed loop through which an electric current can flow.
物理学 (Physics),resistor,电阻,A resistor is an electrical component that resists the flow of electric current.
物理学 (Physics),voltage,电压,Voltage is the difference in electric potential between two points in a circuit.
地理 (Geography),continent,大洲,Asia is the largest continent in the world.
地理 (Geography),ocean,海洋,The Pacific Ocean is the largest ocean on Earth.
地理 (Geography),mountain,山,Mount Everest is the highest mountain in the world.
地理 (Geography),river,河流,The Nile River is the longest river in the world.
地理 (Geography),climate,气候,The tropical climate in this region is hot and humid.
地理 (Geography),population,人口,China has the largest population in the world.
地理 (Geography),latitude,纬度,The equator is at zero degrees latitude.
地理 (Geography),longitude,经度,Greenwich is at zero degrees longitude.
地理 (Geography),physical,物理的,Physical geography focuses on natural features of the Earth.
地理 (Geography),human,人文的,Human geography studies the interactions between human society and the environment.
地理 (Geography),ecosystem,生态系统,The rainforest is a complex ecosystem with diverse plants and animals.
地理 (Geography),tectonic,构造,Earthquakes are caused by tectonic plate movement.
地理 (Geography),erosion,侵蚀,Wind and water erosion can change the shape of landforms.
地理 (Geography),geography,地理学,Studying geography helps us understand the world around us.
地理 (Geography),population,人口,A country's population can impact its resources and economy.
地理 (Geography),urbanization,城市化,The process of urbanization is causing cities to expand rapidly.
地理 (Geography),agriculture,农业,Agriculture is an important industry in many countries.
地理 (Geography),biodiversity,生物多样性,Preserving biodiversity is crucial for a healthy ecosystem.
地理 (Geography),flood,洪水,Heavy rain can lead to flooding in low-lying areas.
地理 (Geography),volcano,火山,Mount Fuji is an active volcano in Japan.
地理 (Geography),desert,沙漠,The Sahara Desert is the largest hot desert in the world.
地理 (Geography),island,岛屿,Australia is the world's largest island.
地理 (Geography),coastline,海岸线,The coastline of this country is dotted with beautiful beaches.
地理 (Geography),glacier,冰川,Glaciers are massive sheets of ice that flow slowly over land.
地理 (Geography),weather,天气,Weather conditions can change rapidly.
地理 (Geography),environment,环境,Protecting the environment is essential for future generations.
地理 (Geography),migration,迁徙,Birds migrate south for the winter.
地理 (Geography),settler,移民,The settlers came to this land seeking a better life.
地理 (Geography),rural,农村的,Many people in rural areas work in agriculture.
数学 (Mathematics),Addition,加法,I need to practice my addition skills.
数学 (Mathematics),Subtraction,减法,Can you help me with this subtraction problem?
数学 (Mathematics),Multiplication,乘法,We are learning multiplication tables in class.
数学 (Mathematics),Division,除法,I find division problems challenging.
数学 (Mathematics),Equation,方程式,Can you solve this equation for x?
数学 (Mathematics),Variable,变量,The value of the variable can change in different equations.
数学 (Mathematics),Factor,因数,6 is a factor of 18.
数学 (Mathematics),Product,乘积,What is the product of 5 and 3?
数学 (Mathematics),Quotient,商,Divide 12 by 3 to find the quotient.
数学 (Mathematics),Sum,总和,Find the sum of 8 and 5.
数学 (Mathematics),Remainder,余数,After dividing 17 by 4
数学 (Mathematics),Graph,图表,Let's plot the data on a graph.
数学 (Mathematics),Area,面积,Calculate the area of the rectangle.
数学 (Mathematics),Perimeter,周长,The perimeter of a square is the sum of all its sides.
数学 (Mathematics),Diameter,直径,The diameter of a circle is the distance across its center.
数学 (Mathematics),Radius,半径,The radius of a circle is half of its diameter.
数学 (Mathematics),Volume,体积,The volume of a cube can be calculated using the formula.
数学 (Mathematics),Ratio,比率,The ratio of boys to girls in the class is 2:3.
数学 (Mathematics),Average,平均,Find the average of the given numbers.
数学 (Mathematics),Angle,角度,An acute angle is less than 90 degrees.
数学 (Mathematics),Triangle,三角形,A triangle has three sides and three angles.
数学 (Mathematics),Quadrilateral,四边形,A square is a type of quadrilateral.
数学 (Mathematics),Parallel,平行,Parallel lines never intersect.
数学 (Mathematics),Perpendicular,垂直,The two lines form a perpendicular angle.
数学 (Mathematics),Coordinate,坐标,Plot the point on the coordinate plane.
数学 (Mathematics),Exponent,指数,"2^3 can be read as ""2 raised to the power of 3."""
数学 (Mathematics),Decimal,小数,Convert the fraction to a decimal number.
数学 (Mathematics),Fraction,分数,Add the two fractions to get the result.
数学 (Mathematics),Percentage,百分比,50% represents half of a whole.
数学 (Mathematics),Prime,素数,7 is a prime number.
文学作品 (Literary Works),novel,小说,She is writing a novel.
文学作品 (Literary Works),poem,诗歌,I enjoy reading poems.
文学作品 (Literary Works),drama,戏剧,We are going to watch a drama tonight.
文学作品 (Literary Works),fiction,小说,This book is a work of fiction.
文学作品 (Literary Works),literature,文学,He studied English literature at university.
文学作品 (Literary Works),prose,散文,Her writing style is more suited to prose.
文学作品 (Literary Works),poetry,诗歌,She has a talent for writing poetry.
文学作品 (Literary Works),sonnet,十四行诗,He composed a beautiful sonnet for his lover.
文学作品 (Literary Works),epic,史诗,The Iliad is an epic poem.
文学作品 (Literary Works),play,剧本,They are rehearsing a play for the school play.
文学作品 (Literary Works),short story,短篇小说,He wrote a compelling short story.
文学作品 (Literary Works),ballad,民谣,She sang a haunting ballad.
文学作品 (Literary Works),satire,讽刺,The novel is a biting satire on society.
文学作品 (Literary Works),comedy,喜剧,We watched a comedy at the theater.
文学作品 (Literary Works),tragedy,悲剧,The play ended in tragedy.
文学作品 (Literary Works),genre,体裁,Mystery is a popular genre.
文学作品 (Literary Works),rhyme,押韵,The poem has a clever rhyme scheme.
文学作品 (Literary Works),symbolism,象征主义,The use of symbolism adds depth to the story.
文学作品 (Literary Works),metaphor,隐喻,His words were a metaphor for the struggle.
文学作品 (Literary Works),personification,拟人,The personification of nature in the poem is beautiful.
文学作品 (Literary Works),irony,讽刺,The story has a poignant irony.
文学作品 (Literary Works),alliteration,头韵,The poet used alliteration to create a rhythm.
文学作品 (Literary Works),tale,故事,It's a tale of adventure and romance.
文学作品 (Literary Works),fable,寓言,The story is a moral fable.
文学作品 (Literary Works),myth,神话,She studied Greek myths in school.
文学作品 (Literary Works),legend,传说,The tale has become a legend in the town.
文学作品 (Literary Works),parable,寓言,The parable teaches an important lesson.
文学作品 (Literary Works),lyric,抒情,The song has heartfelt lyric.
音响 (Sound),Speaker,扬声器,Please turn up the volume on the speaker.
音响 (Sound),Microphone,麦克风,She spoke into the microphone with confidence.
音响 (Sound),Amplifier,放大器,The amplifier made the music sound much clearer.
音响 (Sound),Volume,音量,Can you adjust the volume of the music
音响 (Sound),Bass,低音,The bass in the song was very strong.
音响 (Sound),Treble,高音,Adjust the treble on the sound system for better clarity.
音响 (Sound),Subwoofer,低音炮,The subwoofer added depth to the sound.
音响 (Sound),Headphones,头戴耳机,She put on her headphones to listen to music.
音响 (Sound),Surround sound,环绕声,The movie theater has amazing surround sound.
音响 (Sound),Equalizer,均衡器,You can use the equalizer to adjust the sound settings.
音响 (Sound),Mix,混音,The sound engineer will mix the different tracks together.
音响 (Sound),Soundproof,隔音,The walls were soundproofed to block outside noise.
音响 (Sound),Feedback,反馈,The microphone produced feedback when too close to the speaker.
音响 (Sound),Distortion,失真,The sound quality was affected by distortion.
音响 (Sound),Acoustic,声学的,The concert hall had excellent acoustic properties.
音响 (Sound),Pitch,音高,Her voice had a high pitch.
音响 (Sound),Frequency,频率,The frequency of the sound wave determines its pitch.
音响 (Sound),Harmony,和谐,The band members sang in harmony.
音响 (Sound),Resonance,共振,The guitar's resonance filled the room.
音响 (Sound),Echo,回声,Her voice echoed through the empty hall.
音响 (Sound),Mute,静音,Please mute your phone during class.
音响 (Sound),Interference,干扰,The radio signal was disrupted by interference.
音响 (Sound),Modulation,调制,The modulation of the sound signal enhanced its quality.
音响 (Sound),Chorus,合唱,The chorus of voices was beautiful.
音响 (Sound),Reverb,混响,The reverb effect added depth to the music.
音响 (Sound),Clarity,清晰度,The clarity of the sound made it easy to understand.
音响 (Sound),Overload,过载,The sound system overloaded and shut down.
音响 (Sound),Dolby,杜比,The movie was in Dolby surround sound.
音响 (Sound),Hiss,嘶嘶声,The old record player emitted a hissing sound.
音响 (Sound),Melody,旋律,The melody of the song was catchy.
社交活动 (Social Activities),party,派对,Let's have a party this weekend.
社交活动 (Social Activities),dance,跳舞,She loves to dance at weddings.
社交活动 (Social Activities),game,游戏,We played a fun game at the party.
社交活动 (Social Activities),conversation,交谈,They had a long conversation by the fireplace.
社交活动 (Social Activities),meal,餐,We enjoyed a delicious meal together.
社交活动 (Social Activities),celebrate,庆祝,We celebrate birthdays with cake and presents.
社交活动 (Social Activities),gather,聚集,Friends gather at the park for a picnic.
社交活动 (Social Activities),meetup,聚会,We are having a meetup with old classmates.
社交活动 (Social Activities),socialize,社交,It's important to socialize with different people.
社交活动 (Social Activities),hang out,闲逛,Let's hang out at the mall after school.
社交礼仪 (Social Etiquette),greeting,问候,It's important to always give a polite greeting when you meet someone.
社交礼仪 (Social Etiquette),introduce,介绍,Let me introduce you to my friend Jenny.
社交礼仪 (Social Etiquette),thank you,谢谢,Thank you for helping me with my project.
社交礼仪 (Social Etiquette),please,请,May I please have a glass of water?
社交礼仪 (Social Etiquette),apologize,道歉,I need to apologize for being late.
社交礼仪 (Social Etiquette),listen,倾听,It's important to listen attentively when someone is talking.
社交礼仪 (Social Etiquette),smile,微笑,A smile can make someone's day brighter.
社交礼仪 (Social Etiquette),excuse me,打扰一下,Excuse me
社交礼仪 (Social Etiquette),polite,有礼貌的,It's always good to be polite to others.
社交礼仪 (Social Etiquette),conversation,对话,Let's have a conversation about our upcoming plans.
动漫 (Anime),Anime,动漫,"My favorite anime is ""One Piece""."
动漫 (Anime),Manga,漫画,I like to read manga before going to bed.
动漫 (Anime),Cosplay,打扮成动漫角色的行为,She wore a Pikachu cosplay costume to the convention.
动漫 (Anime),Otaku,御宅族,He's a self-proclaimed otaku who loves collecting anime merchandise.
动漫 (Anime),Kawaii,可爱,The character in that anime is so kawaii!
动漫 (Anime),Mecha,机器人,The mecha battles in that anime are epic.
动漫 (Anime),Shonen,少年,"""Naruto"" is a popular shonen anime."
动漫 (Anime),Shojo,少女,"""Sailor Moon"" is a classic shojo anime."
动漫 (Anime),Senpai,前辈,She has a crush on her senpai at school.
动漫 (Anime),Kawaii,可爱,The character in that anime is so kawaii!
动漫 (Anime),Sensei,老师,"The sensei in ""My Hero Academia"" is very wise."
动漫 (Anime),Chibi,小身材形象,The chibi version of the characters is so cute.
动漫 (Anime),Baka,笨蛋,Don't be a baka
动漫 (Anime),OVA,原创视频动画,Have you watched the latest OVA of that series?
动漫 (Anime),Fan service,粉丝服务,Some anime have too much fan service.
动漫 (Anime),Seinen,青年,"""Tokyo Ghoul"" is a popular seinen anime."
动漫 (Anime),Yuri,百合,The yuri genre focuses on romantic relationships between girls.
动漫 (Anime),Yaoi,耽美,Some fans enjoy reading yaoi manga.
动漫 (Anime),Subbed,字幕版,I prefer watching subbed anime rather than dubbed.
动漫 (Anime),Dubbed,配音版,The dubbed version of that anime has great voice actors.
动漫 (Anime),Filler,填充,The filler episodes in that anime are not that interesting.
动漫 (Anime),Omake,幕间插曲,The omake at the end of the episode was hilarious.
动漫 (Anime),Itasha,痛车,He decorated his car with anime characters; it's an itasha.
动漫 (Anime),Doujinshi,同人志,She enjoys creating her own doujinshi.
动漫 (Anime),Kemono,兽人,The kemono characters in that anime are so unique.
动漫 (Anime),Light novel,轻小说,Many anime are based on popular light novels.
动漫 (Anime),Nakama,伙伴,The bond between the characters is like that of nakama.
动漫 (Anime),Chibi,萌新,She's a chibi when it comes to watching anime; she's a beginner.
动漫 (Anime),Sekai,世界,The sekai in that anime is beautifully imagined.
动漫 (Anime),Waifu,宠妻,Who's your favorite anime waifu?
户外活动 (Outdoor Activities),camping,露营,We went camping by the lake last weekend.
户外活动 (Outdoor Activities),hiking,徒步旅行,They enjoy hiking in the mountains.
户外活动 (Outdoor Activities),fishing,钓鱼,My grandpa likes to go fishing in the river.
户外活动 (Outdoor Activities),sailing,航行,They spent the afternoon sailing on the ocean.
户外活动 (Outdoor Activities),cycling,骑自行车,She goes cycling in the park every morning.
户外活动 (Outdoor Activities),rafting,泛舟,We had a great time rafting down the river.
户外活动 (Outdoor Activities),rock climbing,攀岩,He is an experienced rock climbing enthusiast.
宇宙 (Universe),star,星星,Look at the bright star in the night sky.
宇宙 (Universe),planet,行星,Earth is our home planet.
宇宙 (Universe),galaxy,银河系,Our solar system is part of the Milky Way galaxy.
宇宙 (Universe),comet,彗星,I saw a comet in the sky last night.
宇宙 (Universe),orbit,轨道,The Earth orbits around the sun.
宇宙 (Universe),nebula,星云,The nebula is a cloud of gas and dust in space.
宇宙 (Universe),black hole,黑洞,A black hole has strong gravitational pull.
宇宙 (Universe),asteroid,小行星,Asteroids are rocky objects in space.
宇宙 (Universe),supernova,超新星,A supernova is a massive explosion of a star.
宇宙 (Universe),telescope,望远镜,Astronomers use telescopes to observe the stars.
宇宙 (Universe),space,太空,Astronauts travel to space in a spacecraft.
宇宙 (Universe),rocket,火箭,The rocket launched into space successfully.
宇宙 (Universe),satellite,卫星,The satellite orbits the Earth to send signals.
宇宙 (Universe),comet,彗星,The comet has a glowing tail.
宇宙 (Universe),universe,宇宙,The universe is vast and mysterious.
宇宙 (Universe),astronaut,宇航员,The astronaut floated in space.
宇宙 (Universe),gravity,重力,Gravity keeps us grounded on Earth.
宇宙 (Universe),solar system,太阳系,The solar system consists of planets orbiting the sun.
宇宙 (Universe),celestial,天体的,The celestial bodies include stars and planets.
宇宙 (Universe),cosmic,宇宙的,The cosmic background radiation is from the early universe.
宇宙 (Universe),meteor,流星,I made a wish upon a shooting meteor.
宇宙 (Universe),spacewalk,太空行走,The astronaut did a spacewalk outside the space station.
宇宙 (Universe),crater,坑,The moon has many craters on its surface.
宇宙 (Universe),astronautics,宇宙航行,The field of astronautics studies space travel.
宇宙 (Universe),alien,外星人,Some people believe in the existence of aliens.
宇宙 (Universe),interstellar,星际的,Interstellar travel is traveling between stars.
宇宙 (Universe),astrophysics,天体物理学,Astrophysics studies the properties of celestial objects.
宇宙 (Universe),constellation,星座,Orion is a famous constellation in the night sky.
宇宙 (Universe),telescope,望远镜,The telescope allows us to see distant galaxies.
宇宙 (Universe),astronaut,宇航员,Becoming an astronaut requires rigorous training.
自然灾害 (Natural Disasters),earthquake,地震,The earthquake caused widespread destruction.
自然灾害 (Natural Disasters),tsunami,海啸,The tsunami flooded the coastal area.
自然灾害 (Natural Disasters),hurricane,飓风,The hurricane destroyed many homes.
自然灾害 (Natural Disasters),typhoon,台风,A typhoon is approaching the region.
自然灾害 (Natural Disasters),flood,洪水,The heavy rain caused a flood.
自然灾害 (Natural Disasters),drought,干旱,The farmers suffered from a severe drought.
自然灾害 (Natural Disasters),wildfire,森林大火,Firefighters worked to contain the wildfire.
自然灾害 (Natural Disasters),tornado,龙卷风,The tornado ripped through the town.
自然灾害 (Natural Disasters),volcano,火山,The volcano erupted with a loud bang.
自然灾害 (Natural Disasters),avalanche,雪崩,An avalanche blocked the mountain pass.
自然灾害 (Natural Disasters),cyclone,气旋,The cyclone brought heavy winds.
自然灾害 (Natural Disasters),landslide,山体滑坡,The landslide buried the road.
自然灾害 (Natural Disasters),blizzard,暴风雪,We were trapped in a blizzard.
自然灾害 (Natural Disasters),heatwave,热浪,The heatwave broke temperature records.
自然灾害 (Natural Disasters),mudslide,泥石流,Heavy rain triggered a mudslide.
自然灾害 (Natural Disasters),tsunami,海啸,The tsunami struck without warning.
自然灾害 (Natural Disasters),sinkhole,地陷,A sinkhole suddenly appeared in the ground.
自然灾害 (Natural Disasters),hailstorm,冰雹暴风,The hailstorm damaged crops.
自然灾害 (Natural Disasters),flooding,洪水,The flooding caused evacuations.
自然灾害 (Natural Disasters),tropical storm,热带风暴,The tropical storm brought heavy rains.
自然灾害 (Natural Disasters),thunderstorm,雷暴,We were awoken by the loud thunderstorm.
自然灾害 (Natural Disasters),heatwave,热浪,A heatwave is expected to hit the region.
自然灾害 (Natural Disasters),blizzard,暴风雪,Driving in a blizzard can be dangerous.
自然灾害 (Natural Disasters),volcanic eruption,火山喷发,The volcanic eruption spewed ash into the sky.
自然灾害 (Natural Disasters),earthquake,地震,The earthquake shook buildings.
自然灾害 (Natural Disasters),wildfire,森林大火,The wildfire spread rapidly.
自然灾害 (Natural Disasters),mudslide,泥石流,The mudslide buried houses.
自然灾害 (Natural Disasters),tornado,龙卷风,The tornado devastated the town.
自然灾害 (Natural Disasters),avalanche,雪崩,An avalanche blocked the mountain road.
时尚 (Fashion),trend,时尚趋势,This season
时尚 (Fashion),style,风格,Her outfit is always on point
时尚 (Fashion),fashion,时尚,She always keeps up with the latest fashion trends.
时尚 (Fashion),design,设计,His new collection features a unique and innovative design.
时尚 (Fashion),accessory,配饰,Adding the right accessory can elevate any outfit.
时尚 (Fashion),brand,品牌,She prefers to buy clothes from well-known brands.
时尚 (Fashion),runway,T台,The models strutted down the runway showcasing the designer's new collection.
时尚 (Fashion),couture,高级定制,The designer spent months creating a couture gown for the red carpet event.
时尚 (Fashion),model,模特,The model walked gracefully on the catwalk during the fashion show.
时尚 (Fashion),haute couture,高级定制,Haute couture fashion is known for its luxurious and meticulously crafted designs.
时尚 (Fashion),glamorous,迷人的,She looked absolutely glamorous in her evening gown.
时尚 (Fashion),fashionista,时尚达人,She is always the first to know about the latest trends
时尚 (Fashion),chic,时尚的,Her outfit was effortlessly chic and stylish.
时尚 (Fashion),wardrobe,衣柜,Her wardrobe is filled with designer pieces and stylish essentials.
时尚 (Fashion),accessorize,配饰,She knows how to accessorize to complete her look.
时尚 (Fashion),fabulous,极好的,She always looks fabulous in whatever she wears.
时尚 (Fashion),ensemble,整体搭配,Her ensemble of a blazer and jeans was both stylish and professional.
时尚 (Fashion),vogue,时尚潮流,That color is very much in vogue this season.
时尚 (Fashion),bold,大胆的,She made a bold fashion statement with her choice of accessories.
时尚 (Fashion),designer,设计师,Many celebrities wear outfits designed by top fashion designers.
时尚 (Fashion),catwalk,时装表演,The models confidently strutted down the catwalk in the latest designs.
时尚 (Fashion),casual,休闲的,She prefers a casual and laid-back style for everyday wear.
时尚 (Fashion),glitter,闪闪发光,Her dress sparkled with glitter as she walked down the red carpet.
时尚 (Fashion),fashionable,时尚的,She's always one step ahead when it comes to fashionable trends.
时尚 (Fashion),couture,高级时装,Many celebrities opt for couture gowns for award ceremonies.
时尚 (Fashion),flair,风格,Her outfit had a touch of vintage flair that made it stand out.
时尚 (Fashion),statement,时尚宣言,Her oversized earrings made a bold fashion statement.
时尚 (Fashion),trendsetter,引领时尚潮流的人,She is known as a trendsetter in the fashion industry.
时尚 (Fashion),glamour,魅力,The event was filled with glamour and elegance.
时尚 (Fashion),designer,设计师,The fashion designer unveiled her latest collection at the fashion show.
文化传承 (Cultural Heritage),heritage,遗产,We must protect our cultural heritage for future generations.
文化传承 (Cultural Heritage),tradition,传统,Our family has a tradition of celebrating Chinese New Year together.
